Question;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Correction (1 à 4)
Quelle est la formule pour calculer le périmètre d'un cercle?;Pi x diamètre;Pi x rayon;Pi x (rayon)^2;Pi x (diamètre)^2;1
Si un rectangle a une longueur de 10 cm et une largeur de 5 cm, quelle est son aire?;15 cm²;25 cm²;50 cm²;75 cm²;3
Quelle est la formule pour calculer le volume d'un cube?;Côté x 3;Côté^2;Côté^3;Côté / 3;1
Quelle est la fraction équivalente à 2/4?;1/2;2/3;3/4;4/5;1
Si tu lances un dé à six faces, quelle est la probabilité d'obtenir un 3?;1/3;1/4;1/5;1/6;4
Quelle est la formule pour calculer la vitesse?;Distance / Temps;Distance x Temps;Distance + Temps;Distance - Temps;1




