Question;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Correction (1 à 4)
Qui a peint la Joconde?;Vincent Van Gogh;Leonardo Da Vinci;Pablo Picasso;Claude Monet;2
Qui a écrit "Les Misérables"?;Victor Hugo;Émile Zola;Marcel Proust;Albert Camus;1
Quel est le nom du célèbre discours de Martin Luther King?;Je suis libre;Je suis un rêveur;J'ai un rêve;Je suis un homme;3
Quel est le nom du premier homme à avoir marché sur la Lune?;Neil Armstrong;Buzz Aldrin;Yuri Gagarin;Jim Lovell;1
Qui a composé la Symphonie n°5?;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Franz Schubert;2
Quand est ce que date la chute du mur de Berlin?;1989;1991;1987;1993;1
Quel est le plus haut sommet en France?;Mont Blanc;K2;Everest;Kilimandjaro;1
Quel est le plus long fleuve en France?;La Seine;La Loire;Le Rhône;Le Rhin;2




